record_id,customer_id,customer_name,invoice_no,invoice_amount,invoice_date,due_date,payment_date,balance,credit_limit,writeoff_amount,type,ref_invoice_no,shipment_id
R0000,C011,Customer 011 LLC,INV-2000,207744.13,2025-07-18,2025-08-17,2025-10-16,-207744.13,10000.0,151343.62,writeoff,INV-1999,
R0001,C004,Customer 004 Trading,INV-2001,1905.07,2025-09-08,2025-10-08,,1905.07,25000.0,0.0,sale,,SHIP-3001
R0002,C014,Customer 014 LLC,INV-2002,2908.05,2025-10-01,2025-10-31,2025-10-16,2908.05,10000.0,0.0,sale,,SHIP-3002
R0003,C002,Customer 002 Trading,INV-2003,78339.8,2025-09-16,2025-10-16,2025-10-01,78339.8,25000.0,0.0,sale,,SHIP-3003
R0004,C019,Customer 019 LLC,INV-2004,207482.42,2025-11-13,2025-12-13,,207482.42,100000.0,0.0,sale,,SHIP-3004
R0005,C008,Customer 008 Trading,INV-2005,145.56,2025-09-18,2025-10-18,2025-10-03,145.56,50000.0,0.0,sale,,
R0006,C018,Customer 018 LLC,INV-2006,258.39,2025-10-10,2025-11-09,,258.39,25000.0,0.0,sale,,SHIP-3006
R0007,C019,Customer 019 Trading,INV-2007,17226.5,2025-10-18,2025-11-17,2025-11-02,17226.5,10000.0,0.0,sale,,SHIP-3007
R0008,C003,Customer 003 LLC,INV-2008,9446.89,2025-11-19,2025-12-19,2025-12-04,9446.89,25000.0,0.0,sale,,SHIP-3008
R0009,C018,Customer 018 Trading,INV-2009,3137.42,2025-10-11,2025-11-10,2025-10-26,3137.42,100000.0,0.0,sale,,SHIP-3009
R0010,C015,Customer 015 LLC,INV-2010,1843.05,2025-10-02,2025-11-01,2025-10-17,1843.05,25000.0,0.0,sale,,
R0011,C008,Customer 008 Trading,INV-2011,193.42,2025-10-09,2025-11-08,2025-10-24,193.42,100000.0,0.0,sale,,SHIP-3011
R0012,C024,Customer 024 LLC,INV-2012,3723.23,2025-11-17,2025-12-17,,3723.23,10000.0,0.0,sale,,SHIP-3012
R0013,C014,Customer 014 Trading,INV-2013,377.89,2025-10-14,2025-11-13,2025-10-29,31005.0,25000.0,0.0,sale,,SHIP-3013
R0014,C022,Customer 022 LLC,INV-2014,186.93,2025-11-11,2025-12-11,,186.93,50000.0,0.0,sale,,SHIP-3014
R0015,C012,Customer 012 Trading,INV-2015,12030.8,2025-11-14,2025-12-14,,12030.8,100000.0,0.0,sale,,
R0016,C003,Customer 003 LLC,INV-2016,202480.79,2025-10-31,2025-11-30,,202480.79,10000.0,0.0,sale,,SHIP-3016
R0017,C023,Customer 023 Trading,INV-2017,1212.34,2025-11-13,2025-12-13,,1212.34,100000.0,0.0,sale,,SHIP-3017
R0018,C013,Customer 013 LLC,INV-2018,127245.09,2025-10-15,2025-11-14,2025-10-30,127245.09,10000.0,0.0,sale,,SHIP-3018
R0019,C012,Customer 012 Trading,INV-2019,387.41,2025-09-15,2025-10-15,,-387.41,100000.0,0.0,refund,INV-2018,SHIP-3019
R0020,C025,Customer 025 LLC,INV-2020,1013.94,2025-10-02,2025-11-01,,1013.94,100000.0,0.0,sale,,
R0021,C028,Customer 028 Trading,INV-2021,5467.31,2025-09-22,2025-10-22,2025-10-07,5467.31,100000.0,0.0,sale,,SHIP-3021
R0022,C009,Customer 009 LLC,INV-2022,123550.18,2025-10-26,2025-11-25,2025-11-10,123550.18,50000.0,0.0,sale,,SHIP-3022
R0023,C012,Customer 012 Trading,INV-2023,24520.58,2025-10-19,2025-11-18,,24520.58,25000.0,11288.5,writeoff,,SHIP-3023
R0024,C008,Customer 008 LLC,INV-2024,20174.76,2025-09-02,2025-10-02,2025-09-17,20174.76,100000.0,0.0,sale,,SHIP-3024
R0025,C006,Customer 006 Trading,INV-2025,831.02,2025-09-01,2025-10-01,2025-09-16,831.02,25000.0,0.0,sale,,
R0026,C012,Customer 012 LLC,INV-2026,13625.22,2025-10-11,2025-11-10,2025-10-26,32656.0,25000.0,0.0,sale,,SHIP-3026
R0027,C020,Customer 020 Trading,INV-2027,19605.71,2025-09-07,2025-10-07,2025-09-22,19605.71,100000.0,0.0,sale,,SHIP-3027
R0028,C025,Customer 025 LLC,INV-2028,214586.19,2025-11-27,2025-12-27,,214586.19,100000.0,0.0,sale,,SHIP-3028
R0029,C013,Customer 013 Trading,INV-2029,230.35,2025-11-21,2025-12-21,,230.35,100000.0,0.0,sale,,SHIP-3029
R0030,C003,Customer 003 LLC,INV-2030,279470.91,2025-10-27,2025-11-26,,279470.91,25000.0,0.0,sale,,
R0031,C020,Customer 020 Trading,INV-2031,152.76,2025-09-01,2025-10-01,2025-09-16,152.76,25000.0,0.0,sale,,SHIP-3031
R0032,C012,Customer 012 LLC,INV-2032,14063.08,2025-09-10,2025-10-10,2025-09-25,14063.08,25000.0,0.0,sale,,SHIP-3032
R0033,C005,Customer 005 Trading,INV-2033,16612.44,2025-10-15,2025-11-14,2025-10-30,16612.44,50000.0,0.0,sale,,SHIP-3033
R0034,C004,Customer 004 LLC,INV-2034,93600.73,2025-10-30,2025-11-29,2025-11-14,93600.73,100000.0,0.0,sale,,SHIP-3034
