record_id,bank_account,check_number,transaction_date,deposit_date,issue_date,amount,charge_amount,status,user_id,from_account,to_account,description
R0000,ACC-004,,2025-09-06,,2025-09-06,132897.47,18.96,uncleared,user02,ACC-005,ACC-003,supplier payment
R0001,ACC-005,5001,2025-09-17,,2025-09-17,34740.83,22.75,cleared,user01,ACC-001,ACC-003,transfer
R0002,ACC-005,5002,2025-09-14,,2025-09-14,199.62,31.38,cleared,user02,ACC-004,ACC-001,transfer
R0003,ACC-002,5003,2025-10-16,,2025-10-16,49855.15,31.05,cleared,user03,ACC-001,ACC-004,supplier payment
R0004,ACC-003,,2025-10-17,,2025-10-17,9535.73,28.65,uncleared,user02,ACC-005,ACC-003,transfer
R0005,ACC-002,5005,2025-09-23,,2025-09-23,32561.1,39.95,cleared,user03,ACC-004,ACC-002,transfer
R0006,ACC-001,5006,2025-10-12,,2025-10-12,22740.0,4.93,cleared,user01,ACC-005,ACC-001,supplier payment
R0007,ACC-001,5007,2025-11-12,,2025-11-12,921.46,18.48,cleared,user02,ACC-005,ACC-003,transfer
R0008,ACC-003,,2025-11-09,,2025-11-09,1166.15,7.48,cleared,user03,ACC-005,ACC-002,transfer
R0009,ACC-005,5009,2025-09-16,,2025-09-16,29853.97,7.12,uncleared,user03,ACC-002,ACC-004,supplier payment
R0010,ACC-001,5010,2025-11-15,,2025-11-15,224.5,31.54,cleared,user02,ACC-004,ACC-001,transfer
R0011,ACC-001,5011,2025-09-03,,2025-09-03,370.68,26.93,cleared,user02,ACC-001,ACC-003,transfer
R0012,ACC-002,,2025-09-12,2025-09-02,2025-09-12,1627.42,1.85,in_transit,user02,ACC-004,ACC-005,supplier payment
R0013,ACC-002,5013,2025-10-30,,2025-10-30,8297.74,4.58,cleared,user03,ACC-004,ACC-003,transfer
R0014,ACC-003,5014,2025-11-07,,2025-11-07,18761.22,5.0,cleared,user01,ACC-005,ACC-002,transfer
R0015,ACC-005,5015,2025-09-02,,2025-09-02,3601.01,34.39,cleared,user02,ACC-004,ACC-002,supplier payment
