record_id,journal_id,posting_date,posting_datetime,entry_date,entry_type,entered_by,debit_account,credit_account,amount,debit_amount,credit_amount,description,period_close_date,reverses_journal_id
R0000,JE-4000,2025-11-05,2025-11-05T23:37:00,2025-11-10,auto,john.c,GL-9320,GL-4111,107176.11,107176.11,107136.83,test plug adjustment,2025-10-31,
R0001,JE-4001,2025-09-24,2025-09-24T17:50:00,2025-09-24,auto,ahmed.r,GL-2542,GL-8316,65110.51,65110.51,65110.51,monthly accrual,2025-10-31,
R0002,JE-4002,2025-10-09,2025-10-09T18:59:00,2025-10-09,auto,sarah.k,GL-7490,GL-8421,313.53,313.53,313.53,monthly accrual,2025-10-31,
R0003,JE-4003,2025-11-23,2025-11-23T17:27:00,2025-11-23,auto,sarah.k,GL-9656,GL-2034,38566.09,38566.09,38566.09,monthly accrual,2025-10-31,
R0004,JE-4004,2025-09-08,2025-09-08T17:54:00,2025-09-08,auto,sarah.k,GL-8601,GL-6345,133.29,133.29,133.29,monthly accrual,2025-10-31,
R0005,JE-4005,2025-10-27,2025-10-27T11:20:00,2025-10-27,manual,fatima.a,GL-5819,GL-9188,11704.64,11704.64,11704.64,monthly accrual,2025-10-31,
R0006,JE-4006,2025-09-01,2025-09-01T12:13:00,2025-09-01,auto,john.c,GL-2363,GL-5161,20824.44,20824.44,20824.44,monthly accrual,2025-10-31,
R0007,JE-4007,2025-10-11,2025-10-11T08:16:00,2025-10-11,auto,sarah.k,GL-2768,GL-7560,44974.38,44974.38,44974.38,monthly accrual,2025-10-31,
R0008,JE-4008,2025-09-14,2025-09-14T08:47:00,2025-09-14,manual,fatima.a,GL-1008,GL-4498,91842.28,91842.28,91842.28,monthly accrual,2025-10-31,
R0009,JE-4009,2025-09-27,2025-09-27T14:37:00,2025-09-27,manual,fatima.a,GL-7511,GL-7877,175649.74,175649.74,175649.74,monthly accrual,2025-10-31,
R0010,JE-4010,2025-09-10,2025-09-10T18:10:00,2025-09-10,manual,priya.s,GL-6519,GL-2427,9590.61,9590.61,9590.61,monthly accrual,2025-10-31,
R0011,JE-4011,2025-10-10,2025-10-10T09:55:00,2025-10-10,auto,ahmed.r,GL-5036,GL-2655,1458.98,1458.98,1458.98,monthly accrual,2025-10-31,
R0012,JE-4012,2025-09-02,2025-09-02T10:18:00,2025-09-02,auto,fatima.a,GL-4086,GL-8330,162.04,162.04,162.04,monthly accrual,2025-10-31,
R0013,JE-4013,2025-11-05,2025-11-05T10:54:00,2025-11-05,auto,john.c,GL-7287,GL-2908,464.94,464.94,464.94,monthly accrual,2025-10-31,
R0014,JE-4014,2025-10-21,2025-10-21T12:15:00,2025-10-21,manual,maria.s,GL-5983,GL-1321,2969.24,2969.24,2969.24,monthly accrual,2025-10-31,
R0015,JE-4015,2025-09-27,2025-09-27T17:04:00,2025-09-27,auto,fatima.a,GL-2643,GL-1689,452.46,452.46,452.46,monthly accrual,2025-10-31,
R0016,JE-4016,2025-09-19,2025-09-19T17:05:00,2025-09-19,manual,priya.s,GL-5854,GL-7327,557.64,557.64,557.64,monthly accrual,2025-10-31,
R0017,JE-4017,2025-09-10,2025-09-10T18:48:00,2025-09-10,manual,ahmed.r,GL-1254,GL-7040,181.96,181.96,181.96,monthly accrual,2025-10-31,
R0018,JE-4018,2025-10-18,2025-10-18T17:49:00,2025-10-18,manual,john.c,GL-3223,GL-7325,15049.51,15049.51,15049.51,monthly accrual,2025-10-31,
R0019,JE-4019,2025-09-24,2025-09-24T23:20:00,2025-09-24,manual,ahmed.r,GL-5087,GL-4109,15680.4,15680.4,15680.4,monthly accrual,2025-10-31,
R0020,JE-4020,2025-09-21,2025-09-21T11:34:00,2025-09-21,auto,fatima.a,GL-7360,GL-8905,38724.46,38724.46,38724.46,monthly accrual,2025-10-31,
R0021,JE-4021,2025-11-22,2025-11-22T09:22:00,2025-11-22,manual,sarah.k,GL-9394,GL-5180,188.25,188.25,188.25,monthly accrual,2025-10-31,
R0022,JE-4022,2025-10-01,2025-10-01T14:56:00,2025-10-01,manual,maria.s,GL-9044,GL-5807,38850.83,38850.83,38850.83,monthly accrual,2025-10-31,
R0023,JE-4023,2025-11-06,2025-11-06T09:19:00,2025-11-06,auto,ahmed.r,GL-4742,GL-8852,411.17,411.17,411.17,,2025-10-31,
R0024,JE-4024,2025-11-11,2025-11-11T09:37:00,2025-11-11,auto,priya.s,GL-4479,GL-4341,19376.56,19376.56,19376.56,monthly accrual,2025-10-31,
R0025,JE-4025,2025-09-03,2025-09-03T11:59:00,2025-09-03,manual,sarah.k,GL-1763,GL-3887,174.6,174.6,174.6,monthly accrual,2025-10-31,
R0026,JE-4026,2025-10-07,2025-10-07T10:28:00,2025-10-07,auto,sarah.k,GL-6933,GL-3267,1953.21,1953.21,1953.21,monthly accrual,2025-10-31,
R0027,JE-4027,2025-10-28,2025-10-28T16:55:00,2025-10-28,auto,maria.s,GL-3299,GL-1574,270225.9,270225.9,270225.9,monthly accrual,2025-10-31,
R0028,JE-4028,2025-09-03,2025-09-03T12:34:00,2025-09-03,manual,sarah.k,GL-1348,GL-2226,4589.6,4589.6,4589.6,monthly accrual,2025-10-31,
R0029,JE-4029,2025-11-01,2025-11-01T10:44:00,2025-11-01,manual,sarah.k,GL-2233,GL-8423,171.97,171.97,171.97,monthly accrual,2025-10-31,JE-4028
R0030,JE-4030,2025-11-09,2025-11-09T10:30:00,2025-11-09,manual,priya.s,GL-6764,GL-2391,1937.38,1937.38,1937.38,monthly accrual,2025-10-31,
R0031,JE-4031,2025-11-27,2025-11-27T14:17:00,2025-11-27,manual,sarah.k,GL-9190,GL-1238,4533.93,4533.93,4533.93,test plug adjustment,2025-10-31,
R0032,JE-4032,2025-11-19,2025-11-19T08:10:00,2025-11-19,manual,maria.s,GL-2183,GL-2314,20793.54,20793.54,20793.54,monthly accrual,2025-10-31,
R0033,JE-4033,2025-09-12,2025-09-12T14:36:00,2025-09-12,auto,fatima.a,GL-6409,GL-7364,17294.78,17294.78,17294.78,monthly accrual,2025-10-31,
R0034,JE-4034,2025-11-28,2025-11-28T16:24:00,2025-11-28,manual,sarah.k,GL-9498,GL-9430,10797.79,10797.79,10797.79,monthly accrual,2025-10-31,
