record_id,sku,item_name,category,quantity,unit_cost,unit_price,value,last_movement_date,movement_count,book_qty,physical_qty
R0000,SKU-0000,Item 000,Luxury,-15,0,0.0,0,2024-05-28,135,-15,-15
R0001,SKU-0001,Item 001,Consumables,71,292.56,662.62,20771.76,2025-05-28,68,71,71
R0002,SKU-0002,Item 002,Electronics,24,386.76,1289.01,9282.24,2025-01-03,29,24,20
R0003,SKU-0003,Item 003,Luxury,135,228.08,327.36,30790.8,2025-08-07,148,135,133
R0004,SKU-0004,Item 004,Consumables,183,211.88,550.58,38774.04,2025-02-15,128,183,183
R0005,SKU-0005,Item 005,Spare parts,37,396.09,1034.13,14655.33,2025-02-21,27,37,37
R0006,SKU-0006,Item 006,Electronics,50,195.44,498.21,9772.0,2024-10-06,117,50,42
R0007,SKU-0007,Item 007,Spare parts,-2,478.51,1152.45,-957.02,2025-03-30,128,-2,-2
R0008,SKU-0008,Item 008,Electronics,123,184.85,353.85,22736.55,2025-05-01,6,123,123
R0009,SKU-0009,Item 009,Consumables,116,188.62,634.58,21879.92,2024-09-24,121,116,116
R0010,SKU-0010,Item 010,Luxury,69,224.9,522.06,15518.1,2024-12-25,78,69,69
R0011,SKU-0011,Item 011,Luxury,170,382.87,617.47,65087.9,2024-09-05,17,170,170
R0012,SKU-0012,Item 012,Tools,116,253.15,586.61,29365.4,2025-06-29,70,116,116
R0013,SKU-0013,Item 013,Luxury,16,43.01,135.33,688.16,2024-10-23,51,16,16
R0014,SKU-0014,Item 014,Luxury,155,235.1,649.31,36440.5,2025-07-13,162,155,155
R0015,SKU-0015,Item 015,Consumables,36,4.88,16.57,175.68,2025-02-09,10,36,36
R0016,SKU-0016,Item 016,Tools,142,273.06,533.83,38774.52,2025-01-26,81,142,142
R0017,SKU-0017,Item 017,Electronics,-5,12.77,23.16,-63.85,2025-06-27,134,-5,-5
R0018,SKU-0018,Item 018,Spare parts,116,375.98,1160.77,43613.68,2024-10-05,143,116,116
R0019,SKU-0019,Item 019,Spare parts,180,362.66,725.13,65278.8,2024-12-31,129,180,180
R0020,SKU-0020,Item 020,Tools,142,214.91,370.57,30517.22,2025-03-29,117,142,142
R0021,SKU-0021,Item 021,Luxury,26,256.72,734.57,6674.72,2024-09-17,175,26,26
R0022,SKU-0022,Item 022,Consumables,80,165.14,567.92,13211.2,2024-10-31,24,80,80
R0023,SKU-0023,Item 023,Electronics,159,334.01,1079.08,53107.59,2023-12-11,23,159,159
R0024,SKU-0024,Item 024,Consumables,78,218.73,326.87,17060.94,2025-03-19,67,78,78
R0025,SKU-0025,Item 025,Tools,67,44.62,77.99,2989.54,2024-11-20,169,67,67
R0026,SKU-0026,Item 026,Electronics,180,277.46,897.62,49942.8,2025-07-26,150,180,180
R0027,SKU-0027,Item 027,Tools,108,23.8,60.4,2570.4,2025-07-12,139,108,102
R0028,SKU-0028,Item 028,Electronics,5,138.94,366.51,694.7,2024-10-11,113,5,5
