record_id,po_number,vendor_id,vendor_name,po_amount,po_date,po_type,po_notes,justification,change_type,amendment_count,gr_amount,invoice_amount,has_invoice,has_quotes
R0000,PO-5000,V028,Vendor 020,9354,2025-10-07,emergency,urgent emergency single source,sole source — exclusive partner,value_increase,4,,,False,False
R0001,PO-5001,V013,Vendor 014,201.17,2025-09-03,standard,regular order,competitive bid,none,1,201.17,682.87,True,True
R0002,PO-5002,V021,Vendor 008,230.71,2025-10-15,standard,regular order,competitive bid,none,1,230.71,90.57,True,True
R0003,PO-5003,V027,Vendor 024,5528.6,2025-09-26,standard,regular order,competitive bid,none,1,5528.6,5641.65,True,True
R0004,PO-5004,V026,Vendor 014,394.93,2025-11-26,standard,regular order,competitive bid,none,1,394.93,749.83,True,True
R0005,PO-5005,V018,Vendor 022,9313.71,2025-10-25,standard,regular order,competitive bid,none,0,9313.71,9322.57,True,True
R0006,PO-5006,V027,Vendor 014,6188.96,2025-10-31,standard,regular order,competitive bid,none,0,6188.96,6349.95,True,True
R0007,PO-5007,V019,Vendor 023,42966.51,2025-11-22,standard,regular order,competitive bid,none,1,42966.51,43096.49,True,True
R0008,PO-5008,V024,Vendor 029,74707.75,2025-10-18,standard,regular order,competitive bid,none,0,74707.75,75107.97,True,True
R0009,PO-5009,V026,Vendor 003,840.03,2025-11-10,standard,regular order,competitive bid,none,1,840.03,918.53,True,True
R0010,PO-5010,V015,Vendor 010,2836.68,2025-11-19,standard,regular order,competitive bid,none,1,2836.68,3098.24,True,True
R0011,PO-5011,V022,Vendor 009,1329.14,2025-09-02,standard,regular order,competitive bid,none,0,1329.14,1809.76,True,True
R0012,PO-5012,V030,Vendor 018,119.28,2025-09-18,standard,regular order,competitive bid,none,1,119.28,224.78,True,True
R0013,PO-5013,V024,Vendor 002,9009,2025-11-22,standard,regular order,competitive bid,none,0,9009,9024.5,True,True
R0014,PO-5014,V002,Vendor 017,106.14,2025-09-02,standard,regular order,competitive bid,none,0,106.14,12.06,True,True
R0015,PO-5015,V008,Vendor 003,32012.75,2025-09-04,standard,regular order,competitive bid,none,1,32012.75,32324.26,True,True
R0016,PO-5016,V005,Vendor 007,794.28,2025-09-15,standard,regular order,competitive bid,none,0,794.28,1113.57,True,True
R0017,PO-5017,V028,Vendor 008,89947.13,2025-09-26,standard,regular order,competitive bid,none,1,,,False,True
R0018,PO-5018,V011,Vendor 008,514.92,2025-09-01,standard,regular order,competitive bid,none,0,514.92,749.74,True,True
R0019,PO-5019,V009,Vendor 011,60073.37,2025-09-30,standard,regular order,competitive bid,value_increase,4,60073.37,60353.02,True,True
R0020,PO-5020,V029,Vendor 011,55424.25,2025-10-23,standard,regular order,competitive bid,none,0,55424.25,55430.27,True,True
R0021,PO-5021,V014,Vendor 022,126579.96,2025-09-15,standard,regular order,competitive bid,none,1,126579.96,126684.36,True,True
R0022,PO-5022,V026,Vendor 029,2109.02,2025-09-04,standard,regular order,competitive bid,none,1,2109.02,2369.74,True,True
R0023,PO-5023,V006,Vendor 012,2305.85,2025-11-19,emergency,urgent emergency single source,competitive bid,none,0,2305.85,2435.45,True,False
R0024,PO-5024,V011,Vendor 007,18245.52,2025-10-31,standard,regular order,competitive bid,none,0,18245.52,18683.05,True,True
R0025,PO-5025,V019,Vendor 008,3550.45,2025-10-28,standard,regular order,competitive bid,none,0,3550.45,3472.0,True,True
R0026,PO-5026,V006,Vendor 006,9668,2025-09-05,standard,regular order,competitive bid,none,1,9668,10134.78,True,True
R0027,PO-5027,V023,Vendor 010,3937.04,2025-09-07,standard,regular order,competitive bid,none,1,3937.04,3811.38,True,True
R0028,PO-5028,V008,Vendor 004,1139.31,2025-09-25,standard,regular order,competitive bid,none,1,1139.31,1431.06,True,True
R0029,PO-5029,V004,Vendor 026,12829.81,2025-10-03,standard,regular order,sole source — exclusive partner,none,0,12829.81,12852.35,True,False
R0030,PO-5030,V012,Vendor 007,1837.3,2025-09-30,standard,regular order,competitive bid,none,0,1837.3,1940.28,True,True
R0031,PO-5031,V009,Vendor 018,186132.53,2025-10-14,standard,regular order,competitive bid,none,1,186132.53,186156.26,True,True
R0032,PO-5032,V022,Vendor 004,4126.5,2025-09-21,standard,regular order,competitive bid,none,0,4126.5,4459.27,True,True
