record_id,sale_id,customer_id,customer_name,sale_amount,sale_date,entry_date,shipment_id,discount_pct,period_close_date,product
R0000,SL-7000,C021,Customer 017,141543.02,2025-10-29,2025-11-03,,49.9,2025-10-31,Product A
R0001,SL-7001,C026,Customer 004,16167.13,2025-10-18,2025-10-18,SHIP-8001,5.3,2025-10-31,Product D
R0002,SL-7002,C024,Customer 014,12657.25,2025-10-07,2025-10-07,SHIP-8002,11.1,2025-10-31,Product D
R0003,SL-7003,C003,Customer 018,320.18,2025-09-07,2025-09-07,SHIP-8003,1.1,2025-10-31,Product C
R0004,SL-7004,C027,Customer 019,179456.6,2025-11-22,2025-11-22,SHIP-8004,8.5,2025-10-31,Product E
R0005,SL-7005,C002,Customer 026,1912.33,2025-11-30,2025-11-30,SHIP-8005,6.9,2025-10-31,Product E
R0006,SL-7006,C001,Customer 001,14719.66,2025-11-04,2025-11-04,SHIP-8006,5.0,2025-10-31,Product E
R0007,SL-7007,C008,Customer 001,153384.34,2025-09-09,2025-09-09,SHIP-8007,8.5,2025-10-31,Product C
R0008,SL-7008,C001,Customer 024,1704.34,2025-09-21,2025-09-21,SHIP-8008,9.9,2025-10-31,Product A
R0009,SL-7009,C010,Customer 023,137364.06,2025-09-28,2025-09-28,SHIP-8009,8.8,2025-10-31,Product B
R0010,SL-7010,C010,Customer 009,6129.01,2025-10-09,2025-10-09,SHIP-8010,7.5,2025-10-31,Product B
R0011,SL-7011,C021,Customer 002,4834.25,2025-09-28,2025-09-28,SHIP-8011,3.2,2025-10-31,Product D
R0012,SL-7012,C009,Customer 021,3730.21,2025-11-11,2025-11-11,SHIP-8012,7.8,2025-10-31,Product B
R0013,SL-7013,C012,Customer 001,203.56,2025-11-23,2025-11-23,SHIP-8013,1.6,2025-10-31,Product A
R0014,SL-7014,C021,Customer 017,314524.69,2025-09-09,2025-09-09,SHIP-8014,6.9,2025-10-31,Product B
R0015,SL-7015,C019,Customer 006,72714.82,2025-10-07,2025-10-07,SHIP-8015,5.7,2025-10-31,Product E
R0016,SL-7016,C023,Customer 006,118419.09,2025-09-18,2025-09-18,SHIP-8016,2.5,2025-10-31,Product D
R0017,SL-7017,C001,Customer 012,10690.68,2025-11-09,2025-11-09,SHIP-8017,11.0,2025-10-31,Product C
R0018,SL-7018,C006,Customer 013,173.05,2025-09-07,2025-09-07,SHIP-8018,2.7,2025-10-31,Product D
R0019,SL-7019,C007,Customer 027,1280.26,2025-09-25,2025-09-25,SHIP-8019,41.2,2025-10-31,Product B
R0020,SL-7020,C012,Customer 025,29237.87,2025-11-12,2025-11-12,SHIP-8020,8.4,2025-10-31,Product E
R0021,SL-7021,C028,Customer 018,953.04,2025-11-16,2025-11-16,SHIP-8021,0.5,2025-10-31,Product B
R0022,SL-7022,C009,Customer 019,33007.71,2025-10-09,2025-10-09,SHIP-8022,7.7,2025-10-31,Product E
R0023,SL-7023,C011,Customer 025,544363.39,2025-10-29,2025-10-29,SHIP-8023,5.3,2025-10-31,Product E
R0024,SL-7024,C028,Customer 012,1776.63,2025-09-27,2025-09-27,SHIP-8024,10.4,2025-10-31,Product A
R0025,SL-7025,C030,Customer 015,94362.4,2025-11-02,2025-11-02,SHIP-8025,11.6,2025-10-31,Product E
R0026,SL-7026,C019,Customer 023,14741.83,2025-09-22,2025-09-22,SHIP-8026,7.8,2025-10-31,Product A
R0027,SL-7027,C005,Customer 029,982.85,2025-10-11,2025-10-11,SHIP-8027,0.4,2025-10-31,Product A
R0028,SL-7028,C020,Customer 019,37120.9,2025-10-11,2025-10-11,SHIP-8028,11.3,2025-10-31,Product A
R0029,SL-7029,C012,Customer 022,5128.49,2025-09-23,2025-09-23,,1.7,2025-10-31,Product B
R0030,SL-7030,C027,Customer 003,379.35,2025-09-30,2025-09-30,SHIP-8030,11.4,2025-10-31,Product B
R0031,SL-7031,C009,Customer 016,203656.21,2025-11-19,2025-11-24,SHIP-8031,9.6,2025-10-31,Product B
R0032,SL-7032,C001,Customer 024,221.63,2025-09-15,2025-09-15,SHIP-8032,4.3,2025-10-31,Product B
R0033,SL-7033,C018,Customer 003,1435.48,2025-11-23,2025-11-23,SHIP-8033,5.7,2025-10-31,Product E
R0034,SL-7034,C008,Customer 019,176.14,2025-10-08,2025-10-08,SHIP-8034,2.7,2025-10-31,Product E
R0035,SL-7035,C006,Customer 027,159.3,2025-11-03,2025-11-03,SHIP-8035,9.6,2025-10-31,Product E
R0036,SL-7036,C026,Customer 021,10751.46,2025-10-29,2025-10-29,SHIP-8036,9.8,2025-10-31,Product B
R0037,SL-7037,C015,Customer 015,262062.44,2025-09-20,2025-09-20,SHIP-8037,3.0,2025-10-31,Product C
R0038,SL-7038,C027,Customer 023,723.78,2025-09-21,2025-09-21,SHIP-8038,38.1,2025-10-31,Product A
R0039,SL-7039,C024,Customer 005,795.0,2025-11-01,2025-11-01,SHIP-8039,4.0,2025-10-31,Product B
R0040,SL-7040,C002,Customer 003,142890.42,2025-11-13,2025-11-13,SHIP-8040,5.7,2025-10-31,Product A
R0041,SL-7041,C021,Customer 008,6515.2,2025-09-18,2025-09-18,SHIP-8041,0.6,2025-10-31,Product E
R0042,SL-7042,C008,Customer 008,773.16,2025-10-03,2025-10-03,SHIP-8042,6.6,2025-10-31,Product D
R0043,SL-7043,C013,Customer 016,68832.25,2025-10-16,2025-10-16,SHIP-8043,9.5,2025-10-31,Product E
R0044,SL-7044,C019,Customer 017,5260.17,2025-10-22,2025-10-22,SHIP-8044,7.3,2025-10-31,Product A
R0045,SL-7045,C011,Customer 016,9357.04,2025-11-18,2025-11-18,SHIP-8045,6.0,2025-10-31,Product C
R0046,SL-7046,C006,Customer 016,64945.73,2025-10-29,2025-10-29,SHIP-8046,5.1,2025-10-31,Product D
R0047,SL-7047,C005,Customer 015,105862.44,2025-10-22,2025-10-22,SHIP-8047,4.3,2025-10-31,Product B
R0048,SL-7048,C015,Customer 023,25590.92,2025-10-26,2025-10-26,SHIP-8048,7.9,2025-10-31,Product B
R0049,SL-7049,C002,Customer 008,1053.23,2025-10-19,2025-10-19,SHIP-8049,6.0,2025-10-31,Product A
R0050,SL-7050,C028,Customer 027,205.43,2025-10-10,2025-10-10,SHIP-8050,10.6,2025-10-31,Product A
R0051,SL-7051,C002,Customer 020,137.65,2025-10-06,2025-10-06,SHIP-8051,2.8,2025-10-31,Product D
R0052,SL-7052,C002,Customer 021,87321.35,2025-10-03,2025-10-03,SHIP-8052,4.5,2025-10-31,Product E
R0053,SL-7053,C021,Customer 003,19649.35,2025-09-20,2025-09-20,SHIP-8053,8.7,2025-10-31,Product D
R0054,SL-7054,C012,Customer 015,364.97,2025-10-11,2025-10-11,SHIP-8054,5.6,2025-10-31,Product C
R0055,SL-7055,C025,Customer 021,15011.98,2025-11-07,2025-11-07,SHIP-8055,9.8,2025-10-31,Product C
R0056,SL-7056,C027,Customer 016,47670.98,2025-09-26,2025-09-26,SHIP-8056,9.5,2025-10-31,Product D
R0057,SL-7057,C012,Customer 003,213523.06,2025-10-16,2025-10-16,SHIP-8057,45.4,2025-10-31,Product B
R0058,SL-7058,C029,Customer 016,50964.68,2025-11-09,2025-11-09,,6.4,2025-10-31,Product E
R0059,SL-7059,C006,Customer 017,255.36,2025-11-15,2025-11-15,SHIP-8059,7.7,2025-10-31,Product B
R0060,SL-7060,C007,Customer 016,60046.56,2025-09-02,2025-09-02,SHIP-8060,11.0,2025-10-31,Product E
R0061,SL-7061,C016,Customer 006,184.58,2025-09-20,2025-09-20,SHIP-8061,11.7,2025-10-31,Product A
R0062,SL-7062,C011,Customer 015,17590.05,2025-10-30,2025-11-04,SHIP-8062,7.9,2025-10-31,Product C
R0063,SL-7063,C017,Customer 005,355.31,2025-09-16,2025-09-16,SHIP-8063,8.9,2025-10-31,Product E
R0064,SL-7064,C029,Customer 005,2274.31,2025-11-12,2025-11-12,SHIP-8064,8.1,2025-10-31,Product D
R0065,SL-7065,C008,Customer 002,2113.92,2025-09-15,2025-09-15,SHIP-8065,11.5,2025-10-31,Product A
R0066,SL-7066,C004,Customer 026,1155.03,2025-10-13,2025-10-13,SHIP-8066,9.3,2025-10-31,Product B
R0067,SL-7067,C020,Customer 016,231.67,2025-09-29,2025-09-29,SHIP-8067,3.8,2025-10-31,Product C
R0068,SL-7068,C003,Customer 003,352.72,2025-11-13,2025-11-13,SHIP-8068,2.0,2025-10-31,Product B
R0069,SL-7069,C017,Customer 027,135680.21,2025-10-29,2025-10-29,SHIP-8069,3.4,2025-10-31,Product A
R0070,SL-7070,C019,Customer 019,43120.58,2025-10-18,2025-10-18,SHIP-8070,9.6,2025-10-31,Product D
R0071,SL-7071,C011,Customer 017,807.66,2025-11-07,2025-11-07,SHIP-8071,11.9,2025-10-31,Product C
R0072,SL-7072,C009,Customer 014,39977.55,2025-10-28,2025-10-28,SHIP-8072,5.7,2025-10-31,Product A
R0073,SL-7073,C015,Customer 011,3793.89,2025-10-01,2025-10-01,SHIP-8073,5.6,2025-10-31,Product D
R0074,SL-7074,C001,Customer 019,1078.74,2025-10-31,2025-10-31,SHIP-8074,1.4,2025-10-31,Product E
R0075,SL-7075,C011,Customer 025,1190.16,2025-11-26,2025-11-26,SHIP-8075,0.3,2025-10-31,Product D
R0076,SL-7076,C027,Customer 020,178259.68,2025-10-18,2025-10-18,SHIP-8076,35.2,2025-10-31,Product D
R0077,SL-7077,C021,Customer 028,982.32,2025-10-28,2025-10-28,SHIP-8077,10.6,2025-10-31,Product E
R0078,SL-7078,C017,Customer 013,2858.13,2025-11-26,2025-11-26,SHIP-8078,6.3,2025-10-31,Product C
R0079,SL-7079,C014,Customer 027,197.24,2025-09-07,2025-09-07,SHIP-8079,0.8,2025-10-31,Product C
R0080,SL-7080,C011,Customer 019,46104.48,2025-10-07,2025-10-07,SHIP-8080,3.5,2025-10-31,Product C
R0081,SL-7081,C027,Customer 005,65757.82,2025-11-12,2025-11-12,SHIP-8081,5.4,2025-10-31,Product A
