record_id,claim_id,employee_id,employee_name,category,amount,category_limit,expense_date,description,receipt_path,mileage_km
R0000,EXP-6000,E044,Employee 003,meals,400,200,2025-09-20,client lunch,,0
R0001,EXP-6001,E015,Employee 046,travel,6652.87,5000,2025-11-08,flight,rcp_0001.pdf,0
R0002,EXP-6002,E043,Employee 004,travel,1048.86,5000,2025-09-05,flight,rcp_0002.pdf,0
R0003,EXP-6003,E034,Employee 027,travel,1633.56,5000,2025-10-28,flight,rcp_0003.pdf,0
R0004,EXP-6004,E008,Employee 002,travel,6974.48,5000,2025-09-12,flight,rcp_0004.pdf,0
R0005,EXP-6005,E022,Employee 026,office,730.39,1500,2025-09-27,site visit,rcp_0005.pdf,0
R0006,EXP-6006,E014,Employee 047,transport,425.86,500,2025-10-02,site visit,rcp_0006.pdf,0
R0007,EXP-6007,E036,Employee 004,travel,2926.04,5000,2025-11-24,flight,rcp_0007.pdf,0
R0008,EXP-6008,E009,Employee 014,meals,238.06,200,2025-10-16,client lunch,rcp_0008.pdf,0
R0009,EXP-6009,E002,Employee 006,travel,5858.17,5000,2025-10-19,flight,rcp_0009.pdf,0
R0010,EXP-6010,E052,Employee 014,mileage,732.05,600,2025-11-23,site visit,rcp_0010.pdf,475
R0011,EXP-6011,E022,Employee 042,office,1538.02,1500,2025-09-25,site visit,rcp_0011.pdf,0
R0012,EXP-6012,E022,Employee 019,travel,3385.02,5000,2025-10-04,flight,rcp_0012.pdf,0
R0013,EXP-6013,E042,Employee 042,transport,408.89,500,2025-11-01,site visit,rcp_0013.pdf,0
R0014,EXP-6014,E051,Employee 050,transport,673.7,500,2025-09-13,site visit,rcp_0014.pdf,0
R0015,EXP-6015,E040,Employee 060,transport,629.57,500,2025-11-11,site visit,rcp_0015.pdf,0
R0016,EXP-6016,E006,Employee 012,mileage,707.41,600,2025-10-08,site visit,rcp_0016.pdf,444
R0017,EXP-6017,E007,Employee 043,meals,412.31,200,2025-11-29,client lunch,rcp_0017.pdf,0
R0018,EXP-6018,E042,Employee 054,office,612.42,1500,2025-10-10,site visit,rcp_0018.pdf,0
R0019,EXP-6019,E052,Employee 022,travel,815.68,5000,2025-09-26,flight,,0
R0020,EXP-6020,E036,Employee 046,office,858.1,1500,2025-09-07,site visit,rcp_0020.pdf,0
R0021,EXP-6021,E008,Employee 013,meals,89.6,200,2025-11-21,client lunch,rcp_0021.pdf,0
